 ,week_days_found,current Weekday,month_found,current month,date_found,current date,time_found,current time,day_match,month_match,date_match,time_match,result,comments,
\A 08h-16h LUN A VEN,"[0, 1, 2, 3, 4]",5,[],,[],,08h-16h,,FALSE,,,TRUE,{'result': 0},,
\A 08h-16h LUN A VEN SEPT. A JUIN EXCEPTE PICTOGRAMME AUTOBUS SCOLAIRE,,5,,,,,,,FALSE,,,TRUE,{'result': 0},Always NO parking !!!! Results should be 1,
\A 08h-17h JOURS D'ECOLE,,,,,,,,,FALSE,,,TRUE,{'result': 0},Always NO parking !!!! Results should be 1,
\A 08h-18h  LUN. AU VEN.,"[0, 3]",,[1],,[2],,09h-17h,,FALSE,TRUE,FALSE,TRUE,{'result': 0},Why we have day false. If no date then make it empty Why month is true,
\A 08h-19h LUN. AU VEN.,"[0, 3]",,[],,[],,09h-17h,,FALSE,,,TRUE,{'result': 0},,
\A 08h-20h,"[0, 3]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,08h-09h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 08h-21h30,"[0, 3]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,10h-11h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 08h-23h LUN. AU VEN.,"[0, 1, 2, 3, 4]",,[],,[],,08h-12h,,FALSE,,,FALSE,{'result': 0},,
\A 08h-9h30 ET 15h-16h JOURS D`ECOLE,,,,,,,,,FALSE,,,FALSE,{'result': 0},,
\A 09h-22h,"[0, 1, 2, 3, 4]",,[],,[],,08h-17h,,FALSE,,,TRUE,{'result': 0},,
\A 10h - 12h VENDREDI 1er AVRIL - 30 NOV,"[0, 1, 2, 3, 4]",,[],,[],,08h-20h,,FALSE,,,TRUE,{'result': 0},,
\A 10h -12h LUNDI 1er AVRIL - 30 NOV,[],,[],,[],,09h-23h,,,,,TRUE,{'result': 1},,
\A 10h -12h MARDI 1er AVRIL - 30 NOV,"[1, 4]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,12h-13h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 14h - 16h VENDREDI 1er AVRIL - 30 NOV,[4],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,09h-10h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 14h-18h30 LUN. A VEN.,[3],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,09h-10h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 14h30-15h30 LUN A VEN,"[0, 4, 5, 6]",,[],,[],,"['16h-18h', '09h-23h']",,TRUE,,,TRUE,{'result': 1},,
\A 14h30-18h30 LUN A VEN,"[1, 4]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h-08h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 15h-18h30 LUN. AU VEN.,"[0, 1, 2, 3, 4]",,[],,[],,08h-18h,,FALSE,,,TRUE,{'result': 0},,
\A 15h-19h LUN. AU VEN.,"[0, 1, 2, 3, 4]",,[],,[],,07h-18h,,FALSE,,,TRUE,{'result': 0},,
\A 15h30 - 18h LUN Ã€ VEN,"[0, 2]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h-08h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 15h30-17h30 LUN. AU VEN.,[2],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,08h-09h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 15h30-18h LUN. AU VEN.,"[0, 3]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,10h30-11h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 15h30-18h30 LUN. AU VEN.,[3],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,12h30-13h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 15h30-19h LUN. AU VEN.,"[1, 4]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,09h-10h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 16h-17h30 LUN A VEN,[],,[],,[],,08h-16h,,,,,TRUE,{'result': 1},,
\A 16h-18h LUN. AU VEN.,"[0, 1, 2, 3, 4]",,[],,[],,07h-08h,,FALSE,,,FALSE,{'result': 0},,
\A 16h-18h30 LUN. AU VEN.,[],,[],,[],,"['10h-22h', '22h-10h']",,,,,TRUE,{'result': 1},,
\A 18h-00h,,,,,,,,,,,,TRUE,{'result': 0},,
\A 19h-07h,,,,,,,,,,,,TRUE,{'result': 0},,
\A 22h-07h,,,,,,,,,,,,TRUE,{'result': 0},,
\A 6h -8h JEUDI 1er AVRIL - 30 NOV,[0],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,10h-11h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 6h -8h MERCREDI 1er AVRIL - 30 NOV,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 6h30 - 9h LUN et JEU 1er AVRIL - 30 NOV,"[0, 4, 5, 6]",,[],,[],,"['16h-23h', '9h-23h']",,TRUE,,,TRUE,{'result': 1},,
\A 6h30 - 9h MAR et VEN 1er AVRIL - 30 NOV,"[0, 1, 2, 3, 4]",,[],,[],,"['07h-09h30', '15h30-18h']",,FALSE,,,FALSE,{'result': 0},,
\A 6h30 - 9h MER et VEN 1er AVRIL - 30 NOV,"[0, 1, 2, 3, 4, 5]",,[1],,[2],,16h-20h,,TRUE,TRUE,FALSE,FALSE,{'result': 0},,
\A 6h30-19h LUN A VEN,"[0, 1, 2, 3, 4, 5]",,[],,[],,09h-18h,,TRUE,,,TRUE,{'result': 1},,
\A 7h - 7h30 JEUDI 1er AVRIL - 30 NOV,"[1, 3]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,14h-15h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 7h - 7h30 LUNDI 1er AVRIL - 30 NOV,"[0, 1, 2, 3, 4, 5]",,[2],,[9],,"['02h-09h', '16h']",,TRUE,FALSE,FALSE,FALSE,{'result': 0},,
\A 7h - 8h JEUDI 1er AVRIL - 30 NOV,"[0, 1, 2, 3, 4, 5]",,[2],,[22],,"['02h-09h30', '18h']",,TRUE,FALSE,FALSE,FALSE,{'result': 0},,
\A 7h - 8h LUN et  MER 1er AVRIL - 30 NOV,"[0, 3]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,13h30-14h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 7h - 8h LUNDI 1er AVRIL - 30 NOV,[0],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,19h-20h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 7h - 8h MAR et JEU 1er AVRIL - 30 NOV,"[0, 1, 2, 3, 4]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,08h-09h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 7h - 9h LUN Ã€ VEN,"[1, 4]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,11h-12h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 7h-18h30 LUN A VEN,"[1, 2, 4, 5]",,[],,[],,08h-18h,,TRUE,,,TRUE,{'result': 1},,
\A 7h30-17h LUN A VEN SEPT. A JUIN,,,,,,,,,TRUE,,,TRUE,{'result': 0},,
\A 7h30-9h ET  14h30-16h30  LUN A VEN SEPT. A JUIN EXCEPTE AUTOBUS SCOLAIRE,"[0, 1, 2, 3, 4]",,[],,[],,06h30-09h30,,FALSE,,,FALSE,{'result': 0},,
\A 8h - 10h VENDREDI 1er AVRIL - 30 NOV,"[0, 1, 2, 3, 4, 5]",,[],,[],,16h-20h,,TRUE,,,FALSE,{'result': 0},,
\A 8h - 9h et 16h - 17h LUN Ã€ VEN,[1],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,10h30-11h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 8h - 9h LUN et JEU 1er AVRIL - 30 NOV,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 8h - 9h LUN et MER 1er AVRIL - 30 NOV,"[0, 1, 2, 3, 4]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,06h-07h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 8h - 9h MAR et JEU 1er AVRIL - 30 NOV,[],,[],,[],,09h-21h,,,,,TRUE,{'result': 1},,
