 ,week_days_found,current Weekday,month_found,current month,date_found,current date,time_found,current time,day_match,month_match,date_match,time_match,result,comments,
\P 20h-21h MAR. VEN. 1 AVRIL AU 1 DEC.,[2],,[11],,[15],,9h-16h,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 20h-21h MAR. VEN. 1 MARS AU 1 DEC.,[2],,[11],,[15],,9h-12h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 20h-21h MER. 1 AVRIL AU 1 DEC.,[0],,[11],,[15],,9h-12h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 20h-21h MER. 1 MARS AU 1 DEC.,"[0, 1, 2, 3, 4]",,[],,[],,6h-12h,,FALSE,,,FALSE,{'result': 0},,
\P 20h-21h VEN. 1 MARS AU 1 DEC.,,,,,,,,,FALSE,,,FALSE,{'result': 0},,
\P 20h30 A 21h30 JEUDI 1ER AVRIL AU 1ER DEC.,"[0, 1, 2, 3, 4, 5]",,[],,[],,9h-16h,,TRUE,,,TRUE,{'result': 1},,
\P 20h30 A 21h30 JEUDI 1ER MARS AU 1ER DEC.,,,,,,,,,TRUE,,,TRUE,{'result': 0},,
\P 20h30 A 21h30 MARDI 1ER AVRIL AU 1ER DEC.,"[0, 1, 2, 3, 4]",,[],,[],,7h-17h,,FALSE,,,TRUE,{'result': 0},,
\P 20h30 A 21h30 MARDI 1ER MARS AU 1ER DEC.,"[0, 1, 2, 3, 4]",,[],,[],,"['2h-8h', '18h']",,FALSE,,,FALSE,{'result': 0},,
\P 20h30-21h30 LUN ET MER 1 AVRIL AU 1 DEC.,,,,,,,,,FALSE,,,FALSE,{'result': 0},,
\P 20h30-21h30 LUN. JEU. 1 AVRIL AU 1 DEC.,"[0, 3]",,[],,[],,09h-18h,,FALSE,,,TRUE,{'result': 0},,
\P 20h30-21h30 LUN. JEU. 1 MARS AU 1 DEC.,"[0, 1, 2, 3, 4]",,[],,[],,11h30-19h,,FALSE,,,TRUE,{'result': 0},,
\P 20h30-21h30 MAR. VEN. 1 AVRIL AU 1 DEC.,"[0, 1, 2, 3, 4]",,[],,[],,"['05h30-09h30', '14h30-18h30']",,FALSE,,,TRUE,{'result': 0},,
\P 20h30-21h30 MAR. VEN. 1 MARS AU 1 DEC.,"[1, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,17h30-18h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
"\P 20h30-21h30 MARDI ET JEUDI, 1ER AVRIL AU 1ER DEC.","[0, 1, 2, 3, 4]",,[],,[],,"['07h-09h30', '15h-16h']",,FALSE,,,TRUE,{'result': 0},,
"\P 20h30-21h30 MARDI ET JEUDI, 1ER MARS AU 1ER DEC.",[4],,[],,[],,9h-17h,,FALSE,,,TRUE,{'result': 0},,
\P 21h-07h,"[0, 1, 3, 4]",,[],,[],,09h-17h,,FALSE,,,TRUE,{'result': 0},,
\P 21h-22h JEUDI 1ER AVRIL AU 1ER DEC.,"[0, 1, 2, 3, 4]",,[],,[],,07h-09h30,,FALSE,,,FALSE,{'result': 0},,
\P 21h-22h JEUDI 1ER MARS AU 1ER DEC.,"[0, 3]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,17h30-18h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 21h-22h LUN ET MER 1 AVRIL AU 1 DEC.,"[0, 1, 2, 3, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,16h30-17h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 21h-22h LUN ET MER 1 MARS AU 1 DEC.,[3],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,08h30-11h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 21h-22h LUN. JEU. 1 AVRIL AU 1 DEC.,"[5, 6]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,6h30-7h30,,TRUE,FALSE,FALSE,FALSE,{'result': 0},,
\P 21h-22h LUN. JEU. 1 MARS AU 1 DEC.,"[1, 2, 4]",,[],,[],,09h-17h,,FALSE,,,TRUE,{'result': 0},,
\P 21h-22h LUNDI 1 AVRIL AU 1 DEC.,"[0, 1, 2, 3, 4, 5]",,[],,[],,07h-15h30,,TRUE,,,TRUE,{'result': 1},,
\P 21h-22h MAR et JEU 1 AVRIL au 1 DEC,"[5, 6]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h30-08h30,,TRUE,FALSE,FALSE,FALSE,{'result': 0},,
\P 21h-22h MAR. MER. VEN. 1 MARS AU 1 DEC.,[2],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h30-08h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 21h-22h MAR. VEN. 1 AVRIL AU 1 DEC.,[3],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,21h30-22h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 21h-22h MAR. VEN. 1 MARS AU 1 DEC.,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 21h-22h MARDI 1ER AVRIL AU 1ER DEC.,"[0, 1, 2, 3]",,[],,[],,9h-16h,,FALSE,,,TRUE,{'result': 0},,
\P 21h-22h MARDI 1ER MARS AU 1ER DEC.,[],,[4],,[15],,[],,,FALSE,FALSE,,{'result': 0},,
\P 21h-22h MARDI ET JEUDI,,,,,,,,,,FALSE,FALSE,,{'result': 0},,
\P 21h-22h MERCREDI  1 AVRIL AU 1 DEC.,"[0, 1, 2, 3, 4, 5]",,[],,[],,9h-18h,,TRUE,,,TRUE,{'result': 1},,
\P 21h30 - 22h30 MAR et JEU 1 AVRIL au 1 DEC,[1],,[],,[],,"['2h-9h', '16h']",,FALSE,,,FALSE,{'result': 0},,
\P 21h30-22h30 JEUDI  1 AVRIL AU 1 DEC.,[3],,[],,[],,9h-16h,,FALSE,,,TRUE,{'result': 0},,
\P 21h30-22h30 JEUDI  1 MARS AU 1 DEC.,[1],,[],,[],,9h-16h,,FALSE,,,TRUE,{'result': 0},,
\P 21h30-22h30 LUN ET MER 1AVRIL AU 1 DEC.,,,,,,,,,FALSE,,,TRUE,{'result': 0},,
\P 21h30-22h30 LUN. JEU. 1 AVRIL AU 1 DEC.,[],,[2],,[9],,"['02h-09h', '20h']",,,FALSE,FALSE,FALSE,{'result': 0},,
\P 21h30-22h30 LUN. JEU. 1 MARS AU 1 DEC.,[0],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,13h-16h,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 21h30-22h30 LUNDI  1 MARS AU 1 DEC.,,,,,,,,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 21h30-22h30 MAR. VEN. 1 AVRIL AU 1 DEC.,[],,[],,[],,9h-18h,,,,,TRUE,{'result': 1},,
\P 21h30-22h30 MARDI  1 AVRIL AU 1 DEC.,[],,[],,[],,18h-9h,,,,,FALSE,{'result': 0},,
\P 21h30-22h30 MARDI  1 MARS AU 1 DEC.,[2],,[11],,[15],,7h-9h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 21h-9h,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 22h - 23h MAR et JEU 1 AVRIL au 1 DEC,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 22h - 23h MAR et JEU 1 MARS au 1 DEC,"[0, 1, 2, 3, 4]",,[2],,[22],,"['02h-9h30', '16h']",,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 22h-23h LUN. JEU. 1 AVRIL AU 1 DEC.,"[0, 1, 2, 3, 4]",,[],,[],,07h-18h30,,FALSE,,,TRUE,{'result': 0},,
\P 22h-23h LUN. JEU. 1 MARS AU 1 DEC.,"[1, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,22h-23h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 22h-23h LUN. MER. 1 AVRIL AU 1 DEC.,"[2, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,13h30-14h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 22h-23h MAR. JEU. 1 AVRIL AU 1 DEC.,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 22h-23h MAR. VEN. 1 AVRIL AU 1 DEC.,"[4, 5, 6]",,[],,[],,9h-16h,,TRUE,,,TRUE,{'result': 1},,
\P 22h-23h MAR. VEN. 1 MARS AU 1 DEC.,,,,,,,,,TRUE,,,TRUE,{'result': 0},,
\P 22h-23h MARDI 1 AVRIL AU 1 DEC.,,,,,,,,,TRUE,,,TRUE,{'result': 0},,
\P 22h-23h MARDI 1 MARS AU 1 DEC.,,,,,,,,,TRUE,,,TRUE,{'result': 0},,
\P 22h-24h MAR. ET VEN.  1 MARS AU 1 DEC.,"[0, 1, 2, 3, 4]",,[],,[],,"['7h-8h', '15h-16h']",,FALSE,,,TRUE,{'result': 0},,
\P 22H30-23H30 JEUDI 1 AVRIL AU 1 DEC,,,,,,,,,FALSE,,,TRUE,{'result': 0},,
\P 22h30-23h30 LUN A VEN 1 AVRIL AU 1 DEC.,"[0, 1, 2, 3, 4]",,[12],,[13],,"['8h-12h', '13h-17h']",,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 22h30-23h30 LUN A VEN 1 MARS AU 1 DEC.,,,,,,,,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 22h30-23h30 LUN ET MER 1 AVRIL AU 1 DEC.,"[0, 1, 2, 3, 4]",,[12],,[13],,"['8h-12h', '13h-17h']",,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 22h30-23h30 LUN ET MER 1MARS AU 1 DEC.,"[0, 1, 2, 3, 4]",,[12],,[13],,"['8h-12h', '13h-18h']",,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 22h30-23h30 LUN. JEU. 1 AVRIL AU 1 DEC.,"[0, 4]",,[],,[],,7h-21h,,FALSE,,,TRUE,{'result': 0},,
\P 22h30-23h30 LUN. JEU. 1 MARS AU 1 DEC.,,,,,,,,,FALSE,,,TRUE,{'result': 0},,
\P 22h30-23h30 MAR ET JEU 1 AVRIL ET 1 DEC.,[],,[],,[],,[],,,,,,{'result': 1},,
\P 22h30-23h30 MAR. VEN. 1 AVRIL AU 1 DEC.,"[0, 1, 2, 3, 4, 5]",,[],,[],,"['17h', '17h', '17h', '17h', '17h', '17h']",,TRUE,,,FALSE,{'result': 0},,
\P 22h30-23h30 MAR. VEN. 1 MARS AU 1 DEC.,"[0, 1, 2, 3, 4, 5]",,[],,[],,"['17h', '17h', '17h', '17h', '17h', '17h']",,TRUE,,,FALSE,{'result': 0},,
\P 23h-07h,"[0, 1, 2, 3, 4, 5]",,[],,[],,"['17h', '17h', '17h', '17h', '17h', '17h']",,TRUE,,,FALSE,{'result': 0},,
\P 23h-24h LUN. JEU. 1 AVRIL AU 1 DEC.,"[0, 1, 2, 3, 4, 5]",,[],,[],,"['17h', '17h', '17h', '17h', '17h', '17h']",,TRUE,,,FALSE,{'result': 0},,
\P 23h-24h LUN. JEU. 1 MARS AU 1 DEC.,,,,,,,,,TRUE,,,FALSE,{'result': 0},,
\P 23h-24h MAR. VEN. 1 AVRIL AU 1 DEC.,,,,,,,,,TRUE,,,FALSE,{'result': 0},,
\P 23h-24h MAR. VEN. 1 MARS AU 1 DEC.,"[0, 2, 4]",,[1],,[17],,8h-17h,,FALSE,TRUE,FALSE,TRUE,{'result': 0},,
"\P 23h30-00h30  MAR A MER, VEN A SAM  1 AVRIL AU 1 DEC.","[1, 3]",,[],,[],,8h-17h,,FALSE,,,TRUE,{'result': 0},,
"\P 23h30-00h30  MAR A MER, VEN A SAM  1 MARS AU 1 DEC. ","[0, 1, 2, 3, 4]",,[1],,[22],,"['8h-9h', '14h-17h']",,FALSE,TRUE,FALSE,TRUE,{'result': 0},,
"\P 23h30-00h30 LUN A MAR, JEU A VEN  1 AVRIL AU 1 DEC.",[1],,[],,[],,8h-12h,,FALSE,,,FALSE,{'result': 0},,
"\P 23h30-00h30 LUN A MAR, JEU A VEN  1 MARS AU 1 DEC.",[2],,[1],,[12],,8h-12h,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 23H30-00h30 MAR et JEU 1 AVRIL au 1 DEC,"[0, 1, 2, 3, 4]",,[],,[],,7h-17h,,FALSE,,,TRUE,{'result': 0},,
\P 24h-06h,[],,[1],,[16],,8h-16h,,,TRUE,FALSE,TRUE,{'result': 0},,
\P 30 NOV - 1ER AVRIL,[],,[1],,[17],,8h-17h,,,TRUE,FALSE,TRUE,{'result': 0},,
\P 6H @ 12H LUN AU VEN,[],,[],,[],,[],,,,,,{'result': 1},,
\P 6h30-7h30 SAM ET DIM 1 AVRIL AU 1 DEC.,"[0, 1, 2, 3, 4]",,"[1, 12]",,"[9, 22]",,"['9h-16h30', '12h-16h30']",,FALSE,TRUE,TRUE,TRUE,{'result': 0},,
\P 6h30-7h30 SAM ET DIM 1 MARS AU 1 DEC.,"[0, 3]",,[1],,[12],,7h-12h,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 7h - 24h EXCEPTE VISITEURS COURS MUNICIPALE SECURITE PUBLIQUE,,,,,,,,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 7h - 9h VENDREDI 1ER AVRIL - 30 NOV,,,,,,,,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 7H @ 17H LUN AU VEN,[3],,[1],,[12],,8h-12h,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 7H @ 9H LUNDI 1 AVRIL AU 15 NOVEMBRE,,,,,,,,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 7H @ 9H MARDI 1 AVRIL AU 15 NOVEMBRE,"[0, 1, 2, 3, 4]",,"[1, 1]",,"[22, 22]",,"['5h30-9h30', '14h30-18h30']",,FALSE,TRUE,TRUE,TRUE,{'result': 0},,
\P 7H @ 9H MERCREDI 1 AVRIL AU 15 NOVEMBRE,[1],,[11],,[15],,7h-9h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 7h-19h LUN A VEN EXCEPTE VEHICULES SERVICE DE POLICE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 7h-19h LUN. MER. VEN.,[],,[],,[],,[],,,,,,{'result': 1},,
\P 7h-19h MAR. JEU.,"[0, 1, 2, 3, 4]",,"[1, 1, 9]",,"[18, 22, 22]",,"['5h30-9h', '14h30-18h']",,FALSE,TRUE,FALSE,TRUE,{'result': 0},,
\P 7h-21h LUN Ã  VEN,"[1, 3]",,[11],,[15],,8h-17h,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 7h30 - 8h30 et 14h30 - 15h30 LUN Ã€ VEN EXCEPTE AUTOBUS SCOLAIRES,"[0, 1, 2, 3, 4, 5]",,[],,[],,"['18h', '18h', '18h', '18h', '18h', '18h']",,TRUE,,,FALSE,{'result': 0},,
\P 7h30 - 8h30 et 15h - 16h30 JOURS D'ECOLE,"[0, 1, 2, 3, 4, 5]",,[],,[],,"['18h', '18h', '18h', '18h', '18h', '18h']",,TRUE,,,FALSE,{'result': 0},,
\P 7h30 - 9h30 et 14h30 - 16h LUN Ã€ VEN EXCEPTE AUTOBUS SCOLAIRES,[],,[],,[],,[],,,,,,{'result': 1},,
\P 7h30 A 8h30 DU LUNDI AU VENDREDI - EXCEPTE DEBARCADERE,"[1, 2]",,[],,[],,8h-16h,,FALSE,,,TRUE,{'result': 0},,
\P 7h30-9h 14h30-16h30 JOURS D'ECOLE,"[0, 4]",,[1],,[22],,"['7h-9h', '15h-18h']",,FALSE,TRUE,FALSE,TRUE,{'result': 0},,
\p 8h - 10h et 14h - 17h30 lun Ã  ven exceptÃ© autobus scolaire,"[0, 2, 4]",,[],,[],,8h-19h,,FALSE,,,TRUE,{'result': 0},,
\P 8h - 10h et 15h - 17h LUN Ã€ VEN EXCEPTE AUTOBUS SCOLAIRE ,"[0, 1, 2, 3, 4]",,"[1, 1]",,"[16, 22]",,"['7h30-8h30', '14h30-16h']",,FALSE,TRUE,TRUE,TRUE,{'result': 0},,
\P 8h - 10h JEUDI 1ER AVRIL - 30 NOV,[4],,[],,[],,12h-15h,,FALSE,,,FALSE,{'result': 0},,
\P 8h - 10h MERCREDI 1ER AVRIL - 30 NOV,,,,,,,,,FALSE,,,FALSE,{'result': 0},,
\P 8h - 12h JEUDI 1ER AVRIL - 30 NOV,"[0, 4]",,[1],,[22],,"['7h-9h', '16h-19h']",,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 8h - 12h LUNDI 1ER AVRIL - 30 NOV ,,,,,,,,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 8h - 12h MARDI 1ER AVRIL - 30 NOV,"[0, 2, 4]",,[],,[],,8h-17h,,FALSE,,,TRUE,{'result': 0},,
\P 8h - 12h MERCREDI 1ER AVRIL - 30 NOV,"[1, 3]",,[],,[],,8h-17h,,FALSE,,,TRUE,{'result': 0},,
\P 8h - 12h VENDREDI 1ER AVRIL - 30 NOV,"[0, 2, 2, 4]",,"[3, 11]",,"[15, 15]",,"['9h-17h', '11h-12h']",,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 8h - 12h VENDREDI 1ER AVRIL - 30 NOV | P DEBARCADERE MAX 15 min.,"[1, 3, 3]",,"[3, 11]",,"[15, 15]",,"['9h-17h', '11h-12h']",,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 8h - 16h JOURS D'ECOLE EXCEPTE AUTOBUS SCOLAIRES,[],,"[6, 7, 8, 9]",,"[1, 15]",,[],,,FALSE,FALSE,,{'result': 0},,
\P 8h - 16h LUN Ã€ VEN EXCEPTE LIVRAISON ,[],,[],,[],,[],,,,,,{'result': 1},,
\P 8h - 16h MAR Ã€ SAM EXCEPTÃ‰ LIVRAISON,"[0, 1, 2, 3, 4]",,"[1, 1]",,"[22, 22]",,"['5h30-9h30', '14h-18h30']",,FALSE,TRUE,TRUE,TRUE,{'result': 0},,
\P 8h - 18h LUN Ã€ VEN EXCEPTE AUTOBUS SCOLAIRE ,[1],,"[11, 12]",,"[15, 15]",,9h-12h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 8h - 22h LUNDI AU MERCREDI,"[0, 2, 4]",,[],,[],,18h-24h,,FALSE,,,FALSE,{'result': 0},,
\P 8h - 9h et 15h - 17h LUN Ã€ VEN EXCEPTE DEBARCADERE,"[0, 1, 2, 3, 4]",,[],,[],,[],,FALSE,,,,{'result': 0},,
\P 8h - 9h et 16h - 17h LUN Ã€ VEN EXCEPTE DEBARCADERE,[],,[1],,[22],,7h30-16h30,,,TRUE,FALSE,TRUE,{'result': 0},,
\P 8H @ 17H LUN-MER-VEN,"[1, 3]",,[],,[],,9h-12h,,FALSE,,,FALSE,{'result': 0},,
\P 8H @ 17H MARDI-JEUDI,[],,[],,[],,22h-8h,,,,,FALSE,{'result': 0},,
\P 8h -17h LUN Ã€ VEN EXCEPTÃ‰ LIVRAISON,[],,[],,[],,[],,,,,,{'result': 1},,
\P 8h Ã  12h du lundi au vendredi 1 avril au 30 nov. exceptÃ© vÃ©hicules municipaux,[1],,[],,[],,13h-15h,,FALSE,,,FALSE,{'result': 0},,
\P 8h JEUDI A 8h LUNDI,"[0, 1, 2, 3, 4]",,[],,[],,"['07h-09h', '16h-18h']",,FALSE,,,FALSE,{'result': 0},,
\P 8h LUNDI A 8h JEUDI,[2],,[11],,[15],,13h-15h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 8h-10h et 14h-16h LUN A VEN EXCEPTE AUTOBUS SCOLAIRE,"[0, 1, 2, 3, 4]",,[],,[],,9h-17h,,FALSE,,,TRUE,{'result': 0},,
\P 8h-11h MERCREDI 1 AVRIL AU 1 DEC.,"[1, 3]",,[],,[],,15h-17h,,FALSE,,,TRUE,{'result': 0},,
\P 8h-13h LUN A VEN EXCEPTE LIVRAISON,"[1, 3]",,"[1, 3, 11]",,"[14, 15, 15]",,13h-14h,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 8h-14h LUN A VEN EXCEPTE LIVRAISON,"[0, 2]",,"[1, 3, 11]",,"[14, 15, 15]",,13h-14h,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 8h-15h30 LUN A VEN,[],,[],,[],,[],,,,,,{'result': 1},,
\P 8h-16h SAMEDI  ,,,,,,,,,,,,,{'result': 0},,
\P 8h30 - 10h30 et 14h - 16h lun Ã  jeu 8h30-10h et 12h - 13h vendredi exceptÃ© autobus scolaire,"[1, 3]",,"[5, 6, 7, 8, 9]",,"[17, 31]",,8h-17h,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 8h-9h30 LUNDI ET MERCREDI 1 AVRIL AU 1 DEC.,[1],,"[11, 11]",,"[15, 15]",,9h-11h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 9h - 11h MERCREDI 1ER AVRIL - 30 NOV,[0],,"[11, 11]",,"[15, 15]",,9h-11h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 9h - 12h MARDI 1er AVRIL - 30 NOV,[0],,"[11, 11]",,"[15, 15]",,9h-11h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 9h - 12h VENDREDI 1er AVRIL - 30 NOV,[1],,[1],,[11],,9h-11h,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 9h - 17h JEUDI VENDREDI,"[0, 2, 4]",,[1],,[22],,8h-16h30,,FALSE,TRUE,FALSE,TRUE,{'result': 0},,
\P 9h - 17h LUNDI MARDI MERCREDI,"[1, 3]",,[1],,[22],,8h-16h30,,FALSE,TRUE,FALSE,TRUE,{'result': 0},,
\P 9H @ 12H LUNDI 1 AVRIL AU 15 NOVEMBRE,[0],,[1],,[11],,9h-11h,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 9H @ 12H MERCREDI 1 AVRIL AU 15 NOVEMBRE,,,,,,,,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 9H @ 16H JEUDI,,,,,,,,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 9H @ 16H JEUDI 1 AVRIL AU 15 NOVEMBRE,[],,[],,[],,7h-9h,,,,,FALSE,{'result': 0},,
\P 9H @ 16H LUNDI 1 AVRIL AU 15 NOVEMBRE,"[0, 4]",,[],,[],,09h-12h,,FALSE,,,FALSE,{'result': 0},,
\P 9H @ 16H LUN-MAR-MER-JEU,"[0, 4, 5, 6]",,[],,[],,8h,,TRUE,,,TRUE,{'result': 1},,
\P 9H @ 16H MARDI,[],,[],,[],,10h-14h,,,,,FALSE,{'result': 0},,
\P 9H @ 16H MARDI 1 AVRIL AU 15 NOVEMBRE,,,,,,,,,,,,FALSE,{'result': 0},,
\P 9H @ 16H MERCREDI 1 AVRIL AU 15 NOVEMBRE,"[0, 3]",,[],,[],,8h-17h,,FALSE,,,TRUE,{'result': 0},,
\P 9H @ 16H VEN-SAM-DIM,[0],,[],,[],,9h-12h,,FALSE,,,FALSE,{'result': 0},,
\P 9H @ 17H LUN AU VEN,[],,[1],,[22],,"['7h-9h', '14h-16h']",,,TRUE,FALSE,TRUE,{'result': 0},,
\P 9H @ 18H,"[0, 2, 4]",,[12],,[14],,"['9h-12h', '14h-17h']",,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P 9h-11h MARDI 1MAI AU 1OCT. EXCEPTE VEHICULE DE LA VILLE,"[0, 2]",,"[1, 3, 11]",,"[15, 15, 22]",,8h-9h,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 9h-13h,"[1, 3]",,"[1, 3, 11]",,"[15, 15, 22]",,8h-9h,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
\P 9h-21h LUN.,"[1, 3]",,[],,[],,[],,FALSE,,,,{'result': 0},,
\P 9h-21h LUN. MER. VEN.,"[0, 2, 4]",,[],,[],,[],,FALSE,,,,{'result': 0},,
\P 9h-21h MAR. JEU. SAM. DIM,"[0, 1, 2, 3, 4]",,"[1, 1]",,"[22, 22]",,05h30-10h,,FALSE,TRUE,TRUE,FALSE,{'result': 0},,
\P 9h30 A 15h30 LUN A VEN  DU 1 SEPT. AU 23 JUIN,[0],,"[11, 12]",,"[15, 15]",,9h-12h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P 9h30-11h LUN A SAM,"[0, 1, 2, 3, 4]",,[],,[],,16h-18h,,FALSE,,,FALSE,{'result': 0},,
\P AUX AUTOBUS,[1],,[],,[],,9h-12h,,FALSE,,,FALSE,{'result': 0},,
\P AUX CAMIONS,"[0, 2, 4]",,[11],,[15],,13h-17h,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P AUX REMORQUES,[0],,[],,[],,6h-12h,,FALSE,,,FALSE,{'result': 0},,
\P AVRIL 01 A DEC. 01,[],,[1],,[17],,7h-17h,,,TRUE,FALSE,TRUE,{'result': 0},,
\P CARAVANE  HABITATION MOTORISEE  VEHICULE RECREATIF,"[0, 2, 4]",,[],,[],,8h-18h,,FALSE,,,TRUE,{'result': 0},,
\P DÃ‰BARCADÃˆRE LUNDI AU VENDREDI 7H @ 17H,"[1, 3]",,[11],,[15],,13h-17h,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P DANS LE CENTRE DU PARKING,"[1, 3, 5, 6]",,[],,[],,8h-17h,,TRUE,,,TRUE,{'result': 1},,
\P DEUX COTES,"[0, 1, 2, 3, 4]",,[12],,[13],,"['8h-12h', '13h-18h']",,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
\P D'ICI AU COIN,[1],,[11],,[15],,13h-14h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P EN TOUT TEMPS,[0],,"[11, 12]",,"[15, 15]",,9h-12h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P EN TOUT TEMPS (TEMPORAIRE - PANNEAU),,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P ENTRETIEN (ORANGE) 07h-19h ou 19h-07h (flexible),[0],,[],,[],,7h-13h,,FALSE,,,FALSE,{'result': 0},,
\P EXCEPTÃ‰ DETENTEURS DE PERMIS SECTEUR XX | P NON DETENTEURS DE PERMIS MAX 2h 8h -22h LUN. AU VEN,[1],,"[11, 12]",,"[15, 15]",,9h-12h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P EXCEPTÃ‰ DETENTEURS DE PERMIS SECTEUR XX 10h - 24h,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P EXCEPTÃ‰ DETENTEURS DE PERMIS SECTEUR XX 17h - 24h,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P EXCEPTÃ‰ DETENTEURS DE PERMIS SECTEUR XX 8h - 22h,"[1, 3]",,"[1, 1]",,"[8, 18]",,8h-18h,,FALSE,TRUE,TRUE,TRUE,{'result': 0},,
\P EXCEPTÃ‰ DETENTEURS DE PERMIS SECTEUR XX 8h - 22h JEUDI AU DIMANCHE,[1],,[],,[],,9h-15h,,FALSE,,,FALSE,{'result': 0},,
\P EXCEPTÃ‰ DETENTEURS DE PERMIS SECTEUR XX 8h - 24h,[1],,[1],,[9],,9h-15h,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
